14:00:49.082 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Step count is ===> Step 4 of 4
14:00:49.084 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Testcase-4 passed since application clicked on I'll send them later button
14:00:58.955 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Disconnect Slack?
14:00:59.031 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - User has click on 'No, Keep it button in Create Accounts page
14:00:59.063 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Step count is ===> Step 4 of 4
14:00:59.091 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - View Queued Invites button is displayed? true
14:00:59.091 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Testcase-4 passed since Queued Invites flow is selected on choosing send them later button
14:00:59.290 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Testcase-5 passed since application landed on Invites Page On Queued invite
14:01:00.795 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Disconnect Slack?
14:01:00.909 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Testcase-6 passed since slack is disconnected from settings
14:01:03.955 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - the text is Connect your identity provider
14:01:03.979 [main] INFO  slacktestcases.SlackQueuedInviteFlowValidation - Testcase-6 passed since application landed on Manage page after disconnecting from quick settings
